3rd	3rded	V;PST
86	86ed	V;PST
911	911ed	V;PST
aah	aahed	V;PST
abacinate	abacinated	V;PST
abalienate	abalienated	V;PST
aband	abanded	V;PST
abandon	abandoned	V;PST
abase	abased	V;PST
abash	abashed	V;PST
abastard	abastarded	V;PST
abastardise	abastardised	V;PST
abastardize	abastardized	V;PST
abate	abated	V;PST
abbreviate	abbreviated	V;PST
abdicate	abdicated	V;PST
abduce	abduced	V;PST
abduct	abducted	V;PST
abear	abore	V;PST
abegge	abegged	V;PST
abelianise	abelianised	V;PST
abelianize	abelianized	V;PST
abend	abended	V;PST
aber	abered	V;PST
aberr	aberred	V;PST
aberrate	aberrated	V;PST
aberuncate	aberuncated	V;PST
abet	abetted	V;PST
abhor	abhorred	V;PST
abhour	abhoured	V;PST
abide	abided	V;PST
abide	abode	V;PST
abirritate	abirritated	V;PST
abite	abit	V;PST
abject	abjected	V;PST
abjoint	abjointed	V;PST
abjudge	abjudged	V;PST
abjudicate	abjudicated	V;PST
abjugate	abjugated	V;PST
abjure	abjured	V;PST
ablactate	ablactated	V;PST
ablaqueate	ablaqueated	V;PST
ablate	ablated	V;PST
ablaut	ablauted	V;PST
able	abled	V;PST
ablegate	ablegated	V;PST
abligate	abligated	V;PST
ablude	abluded	V;PST
ablute	abluted	V;PST
abnegate	abnegated	V;PST
abnormalise	abnormalised	V;PST
abnormalize	abnormalized	V;PST
abode	aboded	V;PST
abolish	abolished	V;PST
abolitionise	abolitionised	V;PST
abolitionize	abolitionized	V;PST
A-bomb	A-bombed	V;PST
abominate	abominated	V;PST
abomine	abomined	V;PST
abord	aborded	V;PST
abort	aborted	V;PST
abortive	abortived	V;PST
abound	abounded	V;PST
about-face	about-faced	V;PST
about-turn	about-turned	V;PST
abrade	abraded	V;PST
abraid	abraided	V;PST
abraid	abraid	V;PST
abrase	abrased	V;PST
abray	abrayed	V;PST
abreact	abreacted	V;PST
abrenounce	abrenounced	V;PST
abridge	abridged	V;PST
abroach	abroached	V;PST
abrogate	abrogated	V;PST
abrook	abrooked	V;PST
abrupt	abrupted	V;PST
abscess	abscessed	V;PST
abscind	abscinded	V;PST
abscise	abscised	V;PST
absciss	abscissed	V;PST
abscond	absconded	V;PST
abseil	abseiled	V;PST
absent	absented	V;PST
absinthiate	absinthiated	V;PST
absist	absisted	V;PST
absolutise	absolutised	V;PST
absolutize	absolutized	V;PST
absolve	absolved	V;PST
absorb	absorbed	V;PST
absorb	absorpt	V;PST
absquatulate	absquatulated	V;PST
abstain	abstained	V;PST
absterge	absterged	V;PST
absterse	abstersed	V;PST
abstract	abstracted	V;PST
abstractify	abstractified	V;PST
abstrict	abstricted	V;PST
abstringe	abstringed	V;PST
abstrude	abstruded	V;PST
absume	absumed	V;PST
abuse	abused	V;PST
abut	abutted	V;PST
abutt	abutted	V;PST
abuy	abought	V;PST
abvolate	abvolated	V;PST
aby	abought	V;PST
abye	abought	V;PST
academicise	academicised	V;PST
academicize	academicized	V;PST
academise	academised	V;PST
academize	academized	V;PST
accede	acceded	V;PST
acceed	acceeded	V;PST
accelerate	accelerated	V;PST
accend	accended	V;PST
accent	accented	V;PST
accentuate	accentuated	V;PST
accept	accepted	V;PST
access	accessed	V;PST
accession	accessioned	V;PST
accessorise	accessorised	V;PST
accessorize	accessorized	V;PST
accinge	accinged	V;PST
accite	accited	V;PST
acclaim	acclaimed	V;PST
acclamate	acclamated	V;PST
acclimate	acclimated	V;PST
acclimatise	acclimatised	V;PST
acclimatize	acclimatized	V;PST
accloy	accloyed	V;PST
accoast	accoasted	V;PST
accoil	accoiled	V;PST
accolade	accoladed	V;PST
accoll	accolled	V;PST
accommodate	accommodated	V;PST
accompany	accompanied	V;PST
accompass	accompassed	V;PST
accomplish	accomplished	V;PST
accompt	accompted	V;PST
accord	accorded	V;PST
accordion	accordioned	V;PST
accost	accosted	V;PST
accouche	accouched	V;PST
account	accounted	V;PST
accouple	accoupled	V;PST
accourage	accouraged	V;PST
accourt	accourted	V;PST
accouter	accoutered	V;PST
accoutre	accoutred	V;PST
accoy	accoyed	V;PST
accrease	accreased	V;PST
accredit	accredited	V;PST
accresce	accresced	V;PST
accrete	accreted	V;PST
accriminate	accriminated	V;PST
accroach	accroached	V;PST
accrue	accrued	V;PST
acculturate	acculturated	V;PST
acculture	accultured	V;PST
accumber	accumbered	V;PST
accuminate	accuminated	V;PST
accumulate	accumulated	V;PST
accurise	accurised	V;PST
accurize	accurized	V;PST
accurse	accursed	V;PST
accuse	accused	V;PST
accustom	accustomed	V;PST
accustomise	accustomised	V;PST
accustomize	accustomized	V;PST
ace	aced	V;PST
acerbate	acerbated	V;PST
acervate	acervated	V;PST
acetalise	acetalised	V;PST
acetalize	acetalized	V;PST
acetify	acetified	V;PST
acetise	acetised	V;PST
acetize	acetized	V;PST
acetylate	acetylated	V;PST
ache	ached	V;PST
ache	oke	V;PST
achieve	achieved	V;PST
achromatise	achromatised	V;PST
achromatize	achromatized	V;PST
acidify	acidified	V;PST
acidise	acidised	V;PST
